nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,smoker_num,sexe_num,sport_licence_num,nationalite_francaise_num,orientation_sexuelle_num,niveau_etude_num,region_num
Reynolds,Amy,21,172.4,79.9,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,het,0,195.7,5297.0,marié,2.0,0.91,2022-07-25,570.0,714.7259999999999,500.0,1,1,0,1,1,1,2
Salas,Robert,48,174.3,73.1,F,non,bac+2,Île-de-France,oui,oui,het,1,270.1,2944.0,célibataire,2.0,0.3,2020-08-14,542.0,860.3220000000001,4878.983510459015,1,1,0,1,1,3,1
Keith,Dylan,24,168.4,81.5,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,hom,0,116.2,500.0,veuf,3.0,0.68,2021-11-27,578.0,842.04,9005.3984759165,1,0,1,1,0,4,2
Woods,Kelly,70,168.4,55.6,H,non,bac,Île-de-France,non,oui,het,2,422.9,891.0,veuf,1.0,0.72,2020-03-29,582.0,1262.05,4648.262954564732,0,0,0,1,1,2,1
Tran,Brandy,61,156.7,69.0,H,non,doctorat,Bretagne,non,non,het,1,159.6,3018.0,veuf,3.0,0.36,2024-04-18,328.0,889.7639999999999,500.0,0,0,0,0,1,5,3
Taylor,Christopher,63,187.3,43.5,H,non,master,Hauts-de-France,non,non,het,3,179.8,4921.0,veuf,4.0,0.12,2020-12-20,573.0,840.086,500.0,0,0,0,0,1,4,4
Cole,James,72,163.5,86.0,H,oui,aucun,Corse,non,oui,het,1,143.1,2369.0,veuf,4.0,0.7,2021-12-26,573.0,1011.5,500.0,0,0,1,1,1,1,8
Boone,Donna,59,169.7,81.3,H,non,bac,Île-de-France,oui,non,het,2,432.7,4242.0,célibataire,3.0,0.78,2023-06-12,849.0,765.9480000000001,525.9216548946995,1,0,0,0,1,2,1
Walton,Jennifer,18,171.1,68.0,H,oui,aucun,Occitanie,non,oui,het,-1,250.9,2803.0,célibataire,2.0,0.25,2023-10-31,570.0,853.842,5283.578467374318,0,0,1,1,1,1,6
Stafford,Alicia,19,181.7,94.7,H,non,aucun,Occitanie,non,oui,het,2,255.2,3256.0,célibataire,0.0,0.65,2022-03-18,473.0,828.76,500.0,0,0,0,1,1,1,6
Cuevas,Jeffrey,69,170.8,81.9,F,non,bac,Hauts-de-France,oui,oui,het,4,264.9,3717.0,veuf,2.0,0.56,2022-01-21,570.0,735.546,13170.559304605247,1,1,0,1,1,2,4
Vaughn,Aaron,67,162.0,71.4,H,oui,master,Corse,oui,oui,het,2,134.7,3439.0,veuf,0.0,0.06,2021-08-22,361.0,893.418,942.2444110939668,1,0,1,1,1,4,8
Zamora,William,68,156.5,64.2,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,38.9,686.0,célibataire,1.0,0.11,2020-12-01,375.0,761.7760000000001,12270.06665872613,0,0,1,1,1,5,5
Jacobs,Sandra,56,161.9,76.6,H,non,aucun,Bretagne,oui,oui,het,2,186.0,3780.0,célibataire,3.0,0.5,2025-02-24,502.0,613.574,1147.9499177521698,1,0,0,1,1,1,3
Sherman,Dennis,66,171.9,52.5,F,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,1,211.9,4590.0,célibataire,5.0,0.84,2025-05-07,578.0,766.4380000000001,25361.899125577955,0,1,1,1,1,2,2
Simmons,Jill,56,187.2,87.3,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,1,201.4,1762.0,divorcé,2.0,0.04,2024-11-02,570.0,913.01,8395.400810142952,1,1,1,1,1,5,2
Sanders,Tony,45,169.5,52.3,H,non,aucun,Occitanie,oui,oui,het,1,307.4,743.0,célibataire,4.0,0.63,2024-03-31,713.0,820.5380000000001,1991.076420631058,1,0,0,1,1,1,6
Beasley,Danielle,52,154.6,78.0,F,non,bac+2,Occitanie,oui,oui,het,3,357.1,2175.0,veuf,2.0,0.95,2020-08-05,649.0,930.418,14002.865498517638,1,1,0,1,1,3,6
Williams,Jean,22,170.9,94.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,3,377.3,2106.0,célibataire,5.0,0.04,2024-01-17,578.0,940.976,24090.770841341116,1,0,0,1,1,5,2
Bryan,Elizabeth,56,165.2,94.1,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,het,1,263.3,1714.0,marié,2.0,0.98,2022-08-23,342.0,755.18,500.0,1,1,0,0,1,3,5
English,Tristan,60,162.9,45.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,het,3,426.1,4205.0,célibataire,5.0,0.32,2024-02-22,507.0,959.2,8633.339757804348,0,0,1,0,1,4,2
Lawrence,Katelyn,40,184.2,64.7,H,non,master,Auvergne-Rhône-Alpes,non,oui,het,2,317.4,1022.0,marié,2.0,0.83,2022-05-02,570.0,1181.95,22176.96596468062,0,0,0,1,1,4,2
Mclaughlin,Lee,54,170.7,77.7,F,non,bac+2,Île-de-France,oui,non,het,2,200.2,2332.0,divorcé,0.0,0.38,2021-04-27,560.0,717.2379999999999,500.0,1,1,0,0,1,3,1
Brown,Tina,26,182.1,63.0,H,non,bac+2,Île-de-France,oui,non,het,4,224.1,3667.0,célibataire,1.0,0.17,2024-11-14,582.0,942.7860000000001,500.0,1,0,0,0,1,3,1
Williams,Spencer,57,165.2,71.6,F,oui,aucun,Occitanie,oui,non,het,1,251.4,3765.0,divorcé,3.0,0.29,2020-01-02,575.0,783.996,500.0,1,1,1,0,1,1,6
Greene,Michael,59,170.6,76.0,F,oui,bac,Île-de-France,oui,oui,het,2,128.1,1640.0,divorcé,4.0,0.45,2022-06-15,573.0,960.6719999999999,3720.305007666426,1,1,1,1,1,2,1
Andrade,Jacob,71,161.6,67.2,H,non,doctorat,Île-de-France,oui,oui,het,0,206.4,2077.0,veuf,5.0,0.43,2021-01-15,496.0,1132.9899999999998,6069.528722438526,1,0,0,1,1,5,1
Mathis,Michael,74,158.5,66.9,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,het,3,282.3,2456.0,veuf,2.0,0.09,2025-03-10,570.0,702.722,9295.06139134704,1,0,1,0,1,4,5
Guzman,Michael,52,185.0,49.1,F,oui,doctorat,Hauts-de-France,non,oui,hom,1,345.4,2380.0,célibataire,4.0,0.96,2022-02-27,573.0,754.406,25969.31390156188,0,1,1,1,0,5,4
Ray,Elizabeth,55,163.0,63.6,H,oui,bac,Hauts-de-France,non,oui,het,0,279.9,3773.0,veuf,2.0,0.56,2024-04-03,570.0,630.172,500.0,0,0,1,1,1,2,4
Rodriguez,Robert,56,163.9,62.5,F,oui,aucun,Hauts-de-France,non,non,het,1,299.6,2556.0,veuf,0.0,0.21,2024-10-11,322.0,958.3460000000001,500.0,0,1,1,0,1,1,4
Hughes,Barbara,60,150.1,61.5,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,het,2,424.2,1498.0,marié,1.0,0.25,2024-10-07,483.0,991.36,500.0,0,1,0,0,1,1,5
Johnson,Jennifer,33,172.6,72.0,F,non,master,Bretagne,non,oui,het,1,122.7,3673.0,célibataire,3.0,0.59,2022-04-14,604.0,842.32,15447.487891752608,0,1,0,1,1,4,3
Roman,Steven,46,170.3,70.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,hom,2,269.6,1517.0,veuf,2.0,0.21,2021-02-17,570.0,871.75,33039.482262154605,0,0,1,1,0,3,5
Rubio,William,56,168.4,59.2,H,non,bac,Occitanie,non,oui,het,2,148.3,942.0,divorcé,5.0,0.4,2022-11-02,578.0,532.47,2814.291214417311,0,0,0,1,1,2,6
Morales,Amy,45,165.8,59.3,H,oui,bac,Hauts-de-France,non,non,het,5,264.2,3369.0,marié,2.0,0.38,2020-11-12,570.0,674.35,6485.522432905486,0,0,1,0,1,2,4
Hunter,Anthony,71,163.0,95.4,F,non,aucun,Occitanie,non,oui,het,0,460.5,2437.0,célibataire,3.0,0.06,2024-01-23,746.0,663.9379999999999,500.0,0,1,0,1,1,1,6
Walsh,Eric,38,152.1,57.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,1,321.1,1198.0,divorcé,0.0,0.26,2021-12-05,485.0,937.9380000000001,500.0,0,1,1,0,1,1,2
Smith,Diana,25,174.8,44.9,H,oui,master,Occitanie,oui,non,hom,1,383.9,2751.0,célibataire,3.0,0.75,2025-04-16,575.0,625.9,500.0,1,0,1,0,0,4,6
Jenkins,Ryan,38,166.5,101.3,F,non,bac+2,Bretagne,oui,non,het,1,240.6,3397.0,veuf,1.0,0.46,2023-04-14,582.0,752.92,500.0,1,1,0,0,1,3,3
Schultz,Stacy,28,169.5,56.1,H,oui,doctorat,Île-de-France,oui,oui,het,2,307.4,1656.0,divorcé,3.0,0.97,2024-11-28,575.0,809.32,26592.283270461885,1,0,1,1,1,5,1
Nielsen,Heather,61,164.3,67.2,H,oui,aucun,Corse,oui,oui,hom,1,34.9,3914.0,veuf,5.0,0.98,2022-11-24,578.0,573.5,500.0,1,0,1,1,0,1,8
King,Heidi,30,192.9,63.1,F,oui,master,Occitanie,non,oui,het,4,335.4,500.0,célibataire,3.0,0.93,2021-03-27,575.0,713.09,22780.31709737975,0,1,1,1,1,4,6
Scott,Corey,25,185.6,73.0,H,non,doctorat,Normandie,oui,oui,het,3,345.8,2608.0,marié,3.0,0.91,2021-06-20,575.0,744.13,11814.00760141825,1,0,0,1,1,5,7
Murray,Leslie,38,165.3,67.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,2,244.3,1177.0,veuf,5.0,0.34,2024-11-15,373.0,836.5040000000001,500.0,0,1,1,0,1,1,2
Butler,Mary,63,167.1,84.3,F,oui,doctorat,Hauts-de-France,oui,non,het,2,330.4,3827.0,divorcé,1.0,0.78,2020-12-18,582.0,646.21,500.0,1,1,1,0,1,5,4
Gentry,James,22,163.9,72.5,H,oui,master,Île-de-France,non,oui,het,1,317.0,2915.0,célibataire,0.0,0.96,2020-08-23,560.0,887.43,34110.298298145535,0,0,1,1,1,4,1
Leonard,Jeffrey,20,162.6,84.9,F,oui,bac,Île-de-France,non,oui,het,0,120.0,2129.0,célibataire,2.0,0.61,2025-01-12,570.0,982.432,649.5630251954094,0,1,1,1,1,2,1
Ware,Ashley,57,183.4,52.9,H,oui,aucun,Île-de-France,non,non,het,0,371.1,2195.0,marié,0.0,0.11,2024-11-19,560.0,945.86,500.0,0,0,1,0,1,1,1
Maxwell,Keith,65,172.0,100.3,F,non,master,Auvergne-Rhône-Alpes,oui,oui,het,0,175.0,4777.0,divorcé,3.0,0.9,2020-02-09,601.0,611.9159999999999,2241.440919642173,1,1,0,1,1,4,2
Cook,Brittany,54,178.8,65.0,H,oui,aucun,Corse,oui,non,het,2,301.6,1202.0,célibataire,1.0,0.86,2023-04-23,547.0,885.46,500.0,1,0,1,0,1,1,8
Frazier,James,30,161.9,93.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,non,het,0,89.9,1829.0,marié,2.0,0.16,2022-06-15,570.0,502.188,500.0,1,0,0,0,1,3,2
Scott,Samantha,30,176.2,67.8,F,oui,doctorat,Occitanie,oui,non,het,1,391.8,3887.0,divorcé,2.0,0.17,2024-03-17,348.0,885.75,2229.452478450251,1,1,1,0,1,5,6
Wheeler,Debra,43,173.3,60.1,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,3,298.6,2206.0,marié,0.0,0.41,2022-05-17,722.0,754.332,32273.14558335014,1,1,1,1,1,5,5
Gates,Walter,65,182.2,61.6,H,non,doctorat,Hauts-de-France,non,oui,hom,2,288.1,500.0,marié,2.0,0.21,2020-07-05,787.0,675.4100000000001,29705.629787002348,0,0,0,1,0,5,4
Knight,John,64,174.2,54.6,F,non,bac+2,Occitanie,non,oui,het,-1,313.9,3604.0,veuf,2.0,0.46,2022-12-02,498.0,583.38,500.0,0,1,0,1,1,3,6
James,David,22,188.3,47.3,F,oui,aucun,Île-de-France,non,non,het,2,329.3,2714.0,divorcé,5.0,0.28,2022-08-09,578.0,995.778,500.0,0,1,1,0,1,1,1
Gillespie,Lauren,65,167.8,93.6,F,non,master,Auvergne-Rhône-Alpes,non,oui,het,-4,297.6,2687.0,célibataire,3.0,0.36,2023-02-17,575.0,1013.0899999999999,500.0,0,1,0,1,1,4,2
Knight,Jacob,64,175.2,73.5,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,2,100.8,2241.0,marié,0.0,0.65,2021-10-30,772.0,731.22,14663.468950597158,1,1,0,1,1,5,5
May,Adriana,70,154.2,75.4,H,non,aucun,Hauts-de-France,oui,non,het,0,311.3,1879.0,marié,2.0,0.97,2020-09-10,570.0,759.104,500.0,1,0,0,0,1,1,4
Robbins,Richard,51,165.3,44.0,F,non,master,Normandie,non,non,het,3,192.4,1654.0,célibataire,3.0,0.34,2024-06-01,575.0,706.35,500.0,0,1,0,0,1,4,7
Gomez,Jared,37,172.8,81.1,H,non,bac+2,Corse,non,non,het,0,249.3,1642.0,célibataire,5.0,0.58,2021-05-26,578.0,933.5199999999999,500.0,0,0,0,0,1,3,8
Anderson,Cheryl,65,167.9,48.4,F,oui,master,Hauts-de-France,non,oui,het,0,127.4,3600.0,veuf,3.0,0.6,2021-09-10,381.0,454.038,16922.25195186645,0,1,1,1,1,4,4
Hernandez,Jacob,29,166.9,77.5,H,non,aucun,Occitanie,oui,non,hom,1,98.9,1736.0,veuf,2.0,0.35,2020-11-17,570.0,721.078,500.0,1,0,0,0,0,1,6
Davis,Robert,66,165.7,90.9,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,1,90.5,786.0,divorcé,1.0,0.3,2020-12-28,582.0,808.766,4838.792686019202,0,0,1,1,1,4,5
Pittman,Ashley,66,172.3,70.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,non,het,2,179.8,6228.0,marié,0.0,0.38,2021-06-22,354.0,505.03,500.0,1,1,0,0,1,1,2
Nichols,Valerie,42,177.9,50.9,H,oui,bac,Occitanie,non,non,hom,0,73.9,2327.0,veuf,3.0,0.13,2021-09-03,575.0,805.8239999999998,500.0,0,0,1,0,0,2,6
Morris,Anthony,48,160.2,51.0,H,non,bac+2,Hauts-de-France,oui,oui,het,0,260.0,1099.0,divorcé,3.0,0.68,2020-08-09,575.0,686.0400000000001,500.0,1,0,0,1,1,3,4
Strickland,Kyle,62,165.4,74.9,F,oui,master,Corse,non,non,het,2,223.1,3830.0,divorcé,5.0,0.01,2020-08-27,308.0,646.21,500.0,0,1,1,0,1,4,8
Hudson,Carol,20,160.5,58.0,H,oui,aucun,Occitanie,oui,oui,het,1,308.4,1505.0,veuf,3.0,0.37,2021-10-02,576.0,903.2940000000001,500.0,1,0,1,1,1,1,6
Cole,Elizabeth,55,172.4,70.6,H,non,bac,Normandie,non,oui,het,1,464.2,2321.0,veuf,0.0,0.09,2025-06-08,560.0,946.14,500.0,0,0,0,1,1,2,7
Hudson,John,66,171.7,56.9,H,non,master,Occitanie,oui,non,het,0,197.5,1549.0,marié,2.0,0.63,2022-07-09,570.0,772.568,500.0,1,0,0,0,1,4,6
Munoz,Anna,29,166.3,65.8,H,oui,bac,Hauts-de-France,non,oui,het,4,92.3,2841.0,marié,4.0,0.59,2023-07-21,573.0,649.146,20359.14263743785,0,0,1,1,1,2,4
Smith,Rodney,56,173.1,73.2,H,oui,bac,Occitanie,oui,oui,het,3,250.1,2284.0,divorcé,5.0,0.64,2024-11-15,578.0,1035.23,16987.09552051339,1,0,1,1,1,2,6
Martinez,Sheila,41,172.7,102.2,H,non,bac+2,Bretagne,oui,oui,het,1,340.9,4029.0,divorcé,4.0,0.09,2025-01-19,573.0,930.268,11396.277028540822,1,0,0,1,1,3,3
Merritt,Michael,53,173.5,91.9,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,het,0,264.4,3122.0,divorcé,1.0,0.04,2020-10-27,582.0,774.51,500.0,1,1,1,0,1,2,2
Pittman,Susan,25,166.7,56.0,F,non,aucun,Corse,non,non,het,1,160.6,4148.0,divorcé,5.0,1.0,2022-12-15,578.0,769.87,500.0,0,1,0,0,1,1,8
Stewart,Clarence,28,155.1,53.9,F,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,het,1,238.5,695.0,veuf,5.0,0.51,2024-01-19,578.0,881.016,500.0,1,1,0,1,1,3,2
Preston,John,65,170.3,92.4,F,oui,master,Île-de-France,oui,oui,het,2,215.4,1799.0,marié,4.0,0.27,2021-03-29,421.0,736.986,15232.197838487937,1,1,1,1,1,4,1
Baird,Christy,37,154.8,77.7,H,oui,aucun,Occitanie,oui,oui,het,2,229.6,3680.0,veuf,5.0,0.05,2021-10-31,737.0,905.4399999999999,8232.208869774784,1,0,1,1,1,1,6
Cooper,David,61,174.8,52.9,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,het,3,301.2,4727.0,veuf,5.0,0.97,2021-07-15,458.0,547.086,27080.061169135097,1,0,0,1,1,4,5
Scott,Michelle,68,162.8,82.0,F,non,master,Île-de-France,oui,oui,het,3,386.9,4288.0,divorcé,4.0,0.98,2022-09-05,679.0,839.9459999999999,18906.9193030344,1,1,0,1,1,4,1
Evans,Kelly,33,183.1,87.8,H,oui,bac+2,Bretagne,oui,oui,het,2,195.4,3662.0,veuf,4.0,0.17,2022-01-12,733.0,969.83,24065.571824604594,1,0,1,1,1,3,3
Rodriguez,Stacy,36,156.7,61.4,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,het,1,82.8,912.0,célibataire,3.0,0.35,2021-05-16,626.0,848.11,500.0,0,0,1,0,1,1,5
Phillips,Harry,49,160.0,57.8,F,non,bac,Auvergne-Rhône-Alpes,non,oui,het,1,322.1,2460.0,veuf,0.0,0.84,2021-01-13,515.0,685.5899999999999,500.0,0,1,0,1,1,2,2
Juarez,John,33,159.6,67.1,H,oui,bac,Bretagne,non,non,het,2,100.9,2008.0,divorcé,1.0,0.39,2023-05-31,582.0,726.206,500.0,0,0,1,0,1,2,3
Potter,Alyssa,64,177.6,85.2,F,oui,bac,Occitanie,non,non,het,1,328.2,1818.0,veuf,4.0,0.84,2022-10-29,517.0,360.11,500.0,0,1,1,0,1,2,6
Ibarra,Jonathan,30,192.3,76.3,F,non,master,Occitanie,oui,oui,het,2,366.2,2957.0,divorcé,5.0,0.39,2024-05-06,578.0,633.902,6118.426138861176,1,1,0,1,1,4,6
Wright,Lisa,25,148.0,57.9,H,non,bac,Occitanie,non,oui,het,3,366.9,2198.0,marié,2.0,0.32,2022-02-27,441.0,832.454,13025.400471408417,0,0,0,1,1,2,6
Garcia,Jill,73,164.4,77.5,H,oui,aucun,Île-de-France,non,oui,het,2,273.6,1193.0,divorcé,1.0,0.18,2022-08-14,608.0,1013.83,18497.083878446258,0,0,1,1,1,1,1
Hinton,Sherri,54,155.7,60.4,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,het,2,272.9,3557.0,divorcé,2.0,0.6,2023-03-08,843.0,694.626,22311.581737233337,1,1,1,1,1,4,2
Castro,Steven,32,172.1,78.7,F,oui,bac,Auvergne-Rhône-Alpes,non,non,het,1,258.0,3773.0,marié,2.0,0.97,2020-08-16,699.0,729.394,500.0,0,1,1,0,1,2,2
Morgan,Chloe,33,182.4,49.0,F,oui,doctorat,Hauts-de-France,non,non,het,0,206.5,2844.0,veuf,0.0,0.34,2020-10-06,560.0,484.19399999999996,500.0,0,1,1,0,1,5,4
Anderson,Kevin,36,162.5,89.2,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,het,0,193.5,2938.0,divorcé,5.0,0.63,2023-06-29,578.0,888.7199999999999,500.0,0,1,0,0,1,5,5
Novak,Briana,35,178.8,73.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,het,2,78.3,3879.0,célibataire,0.0,0.5,2023-04-19,560.0,861.302,500.0,0,0,1,0,1,3,5
Hernandez,Karen,66,179.0,69.4,F,non,master,Auvergne-Rhône-Alpes,oui,non,het,1,-82.1,4197.0,divorcé,1.0,0.85,2024-09-06,582.0,833.1700000000001,500.0,1,1,0,0,1,4,2
Rivera,Scott,28,169.8,48.6,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,het,3,263.9,1689.0,veuf,0.0,0.65,2021-05-30,560.0,816.68,29780.01970191709,0,0,1,1,1,3,2
Horton,Derek,34,172.1,63.7,F,oui,bac+2,Occitanie,oui,non,het,0,168.2,869.0,veuf,0.0,0.44,2020-12-23,560.0,1008.06,500.0,1,1,1,0,1,3,6
White,Guy,44,157.7,62.2,H,oui,bac+2,Île-de-France,non,non,het,1,152.9,3739.0,veuf,2.0,0.04,2025-05-25,570.0,513.96,4073.275744228335,0,0,1,0,1,3,1
Wilson,Larry,27,158.8,70.2,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,-2,400.2,1727.0,marié,2.0,0.21,2023-08-14,595.0,758.28,500.0,1,0,0,1,1,2,2
White,Ann,32,165.7,77.1,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,0,148.3,2085.0,divorcé,0.0,0.43,2020-03-21,717.0,1110.9,8036.926835295528,0,0,1,1,1,4,5
Miller,Kendra,31,176.2,86.2,F,non,bac,Auvergne-Rhône-Alpes,non,oui,het,2,318.7,3677.0,célibataire,1.0,0.35,2022-10-04,582.0,866.1899999999999,18508.072744337143,0,1,0,1,1,2,2
Mccarty,Chloe,57,161.8,87.2,H,non,bac+2,Bretagne,oui,non,het,3,267.6,2725.0,divorcé,0.0,0.72,2025-05-22,560.0,849.8100000000001,500.0,1,0,0,0,1,3,3
Jones,Daniel,54,160.9,67.3,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,het,4,276.1,500.0,veuf,2.0,0.28,2021-12-20,570.0,870.742,10529.209107225804,0,0,0,1,1,1,5
Gray,Brianna,73,153.5,68.1,H,oui,master,Corse,non,oui,het,2,237.0,2957.0,célibataire,5.0,0.31,2020-02-11,590.0,260.35810000000004,28031.7014101457,0,0,1,1,1,4,8
Shelton,Christina,62,165.1,39.6,F,oui,aucun,Corse,non,non,het,0,310.2,1386.0,veuf,1.0,0.47,2021-04-29,582.0,1007.6360000000001,500.0,0,1,1,0,1,1,8
Wright,Mary,71,169.9,79.8,H,oui,doctorat,Corse,oui,oui,het,1,115.0,2650.0,marié,1.0,0.54,2021-08-18,649.0,351.97,8812.344456114333,1,0,1,1,1,5,8
Thomas,Katherine,56,175.6,46.4,F,oui,master,Île-de-France,non,non,het,0,192.1,1215.0,marié,4.0,0.74,2021-06-15,626.0,869.0019999999998,500.0,0,1,1,0,1,4,1
Rodriguez,Jennifer,47,181.0,77.5,H,non,aucun,Île-de-France,non,non,het,1,415.7,2013.0,marié,4.0,0.32,2023-10-23,450.0,785.478,500.0,0,0,0,0,1,1,1
Williams,James,75,183.7,96.1,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,het,1,111.7,3998.0,veuf,2.0,0.45,2023-08-11,569.0,690.1339999999999,18094.12546371585,1,1,1,1,1,4,5
May,Steve,45,153.3,52.4,H,oui,doctorat,Corse,oui,oui,het,4,357.0,1786.0,divorcé,4.0,0.15,2021-06-28,496.0,784.7479999999999,18657.275774742106,1,0,1,1,1,5,8
Townsend,Hector,44,159.1,92.4,F,oui,aucun,Hauts-de-France,non,oui,het,1,91.3,833.0,célibataire,0.0,0.5,2021-07-10,588.0,606.9340000000001,500.0,0,1,1,1,1,1,4
