nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Smith,Diana,25,174.8,44.9,H,oui,master,Occitanie,oui,non,hom,1,383.9,2751.0,célibataire,3.0,0.75,2025-04-16,575.0,625.9,500.0
Jenkins,Ryan,38,166.5,101.3,F,non,bac+2,Bretagne,oui,non,het,1,240.6,3397.0,veuf,1.0,0.46,2023-04-14,582.0,752.92,500.0
Schultz,Stacy,28,169.5,56.1,H,oui,doctorat,Île-de-France,oui,oui,het,2,307.4,1656.0,divorcé,3.0,0.97,2024-11-28,575.0,809.32,26592.283270461885
Nielsen,Heather,61,164.3,67.2,H,oui,aucun,Corse,oui,oui,hom,1,34.9,3914.0,veuf,5.0,0.98,2022-11-24,578.0,573.5,500.0
King,Heidi,30,192.9,63.1,F,oui,master,Occitanie,non,oui,het,4,335.4,500.0,célibataire,3.0,0.93,2021-03-27,575.0,713.09,22780.31709737975
Scott,Corey,25,185.6,73.0,H,non,doctorat,Normandie,oui,oui,het,3,345.8,2608.0,marié,3.0,0.91,2021-06-20,575.0,744.13,11814.00760141825
Murray,Leslie,38,165.3,67.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,2,244.3,1177.0,veuf,5.0,0.34,2024-11-15,373.0,836.5040000000001,500.0
Butler,Mary,63,167.1,84.3,F,oui,doctorat,Hauts-de-France,oui,non,het,2,330.4,3827.0,divorcé,1.0,0.78,2020-12-18,582.0,646.21,500.0
Gentry,James,22,163.9,72.5,H,oui,master,Île-de-France,non,oui,het,1,317.0,2915.0,célibataire,0.0,0.96,2020-08-23,560.0,887.43,34110.298298145535
Leonard,Jeffrey,20,162.6,84.9,F,oui,bac,Île-de-France,non,oui,het,0,120.0,2129.0,célibataire,2.0,0.61,2025-01-12,570.0,982.432,649.5630251954094
Ware,Ashley,57,183.4,52.9,H,oui,aucun,Île-de-France,non,non,het,0,371.1,2195.0,marié,0.0,0.11,2024-11-19,560.0,945.86,500.0
Maxwell,Keith,65,172.0,100.3,F,non,master,Auvergne-Rhône-Alpes,oui,oui,het,0,175.0,4777.0,divorcé,3.0,0.9,2020-02-09,601.0,611.9159999999999,2241.440919642173
Cook,Brittany,54,178.8,65.0,H,oui,aucun,Corse,oui,non,het,2,301.6,1202.0,célibataire,1.0,0.86,2023-04-23,547.0,885.46,500.0
Frazier,James,30,161.9,93.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,non,het,0,89.9,1829.0,marié,2.0,0.16,2022-06-15,570.0,502.188,500.0
Scott,Samantha,30,176.2,67.8,F,oui,doctorat,Occitanie,oui,non,het,1,391.8,3887.0,divorcé,2.0,0.17,2024-03-17,348.0,885.75,2229.452478450251
Wheeler,Debra,43,173.3,60.1,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,3,298.6,2206.0,marié,0.0,0.41,2022-05-17,722.0,754.332,32273.14558335014
Gates,Walter,65,182.2,61.6,H,non,doctorat,Hauts-de-France,non,oui,hom,2,288.1,500.0,marié,2.0,0.21,2020-07-05,787.0,675.4100000000001,29705.629787002348
Knight,John,64,174.2,54.6,F,non,bac+2,Occitanie,non,oui,het,-1,313.9,3604.0,veuf,2.0,0.46,2022-12-02,498.0,583.38,500.0
James,David,22,188.3,47.3,F,oui,aucun,Île-de-France,non,non,het,2,329.3,2714.0,divorcé,5.0,0.28,2022-08-09,578.0,995.778,500.0
Gillespie,Lauren,65,167.8,93.6,F,non,master,Auvergne-Rhône-Alpes,non,oui,het,-4,297.6,2687.0,célibataire,3.0,0.36,2023-02-17,575.0,1013.0899999999999,500.0
Knight,Jacob,64,175.2,73.5,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,2,100.8,2241.0,marié,0.0,0.65,2021-10-30,772.0,731.22,14663.468950597158
May,Adriana,70,154.2,75.4,H,non,aucun,Hauts-de-France,oui,non,het,0,311.3,1879.0,marié,2.0,0.97,2020-09-10,570.0,759.104,500.0
Robbins,Richard,51,165.3,44.0,F,non,master,Normandie,non,non,het,3,192.4,1654.0,célibataire,3.0,0.34,2024-06-01,575.0,706.35,500.0
Gomez,Jared,37,172.8,81.1,H,non,bac+2,Corse,non,non,het,0,249.3,1642.0,célibataire,5.0,0.58,2021-05-26,578.0,933.5199999999999,500.0
Anderson,Cheryl,65,167.9,48.4,F,oui,master,Hauts-de-France,non,oui,het,0,127.4,3600.0,veuf,3.0,0.6,2021-09-10,381.0,454.038,16922.25195186645
Hernandez,Jacob,29,166.9,77.5,H,non,aucun,Occitanie,oui,non,hom,1,98.9,1736.0,veuf,2.0,0.35,2020-11-17,570.0,721.078,500.0
Davis,Robert,66,165.7,90.9,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,1,90.5,786.0,divorcé,1.0,0.3,2020-12-28,582.0,808.766,4838.792686019202
Pittman,Ashley,66,172.3,70.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,non,het,2,179.8,6228.0,marié,0.0,0.38,2021-06-22,354.0,505.03,500.0
Nichols,Valerie,42,177.9,50.9,H,oui,bac,Occitanie,non,non,hom,0,73.9,2327.0,veuf,3.0,0.13,2021-09-03,575.0,805.8239999999998,500.0
Morris,Anthony,48,160.2,51.0,H,non,bac+2,Hauts-de-France,oui,oui,het,0,260.0,1099.0,divorcé,3.0,0.68,2020-08-09,575.0,686.0400000000001,500.0
Strickland,Kyle,62,165.4,74.9,F,oui,master,Corse,non,non,het,2,223.1,3830.0,divorcé,5.0,0.01,2020-08-27,308.0,646.21,500.0
Hudson,Carol,20,160.5,58.0,H,oui,aucun,Occitanie,oui,oui,het,1,308.4,1505.0,veuf,3.0,0.37,2021-10-02,576.0,903.2940000000001,500.0
Cole,Elizabeth,55,172.4,70.6,H,non,bac,Normandie,non,oui,het,1,464.2,2321.0,veuf,0.0,0.09,2025-06-08,560.0,946.14,500.0
Hudson,John,66,171.7,56.9,H,non,master,Occitanie,oui,non,het,0,197.5,1549.0,marié,2.0,0.63,2022-07-09,570.0,772.568,500.0
Munoz,Anna,29,166.3,65.8,H,oui,bac,Hauts-de-France,non,oui,het,4,92.3,2841.0,marié,4.0,0.59,2023-07-21,573.0,649.146,20359.14263743785
Smith,Rodney,56,173.1,73.2,H,oui,bac,Occitanie,oui,oui,het,3,250.1,2284.0,divorcé,5.0,0.64,2024-11-15,578.0,1035.23,16987.09552051339
Martinez,Sheila,41,172.7,102.2,H,non,bac+2,Bretagne,oui,oui,het,1,340.9,4029.0,divorcé,4.0,0.09,2025-01-19,573.0,930.268,11396.277028540822
Merritt,Michael,53,173.5,91.9,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,het,0,264.4,3122.0,divorcé,1.0,0.04,2020-10-27,582.0,774.51,500.0
Pittman,Susan,25,166.7,56.0,F,non,aucun,Corse,non,non,het,1,160.6,4148.0,divorcé,5.0,1.0,2022-12-15,578.0,769.87,500.0
Stewart,Clarence,28,155.1,53.9,F,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,het,1,238.5,695.0,veuf,5.0,0.51,2024-01-19,578.0,881.016,500.0
Preston,John,65,170.3,92.4,F,oui,master,Île-de-France,oui,oui,het,2,215.4,1799.0,marié,4.0,0.27,2021-03-29,421.0,736.986,15232.197838487937
Baird,Christy,37,154.8,77.7,H,oui,aucun,Occitanie,oui,oui,het,2,229.6,3680.0,veuf,5.0,0.05,2021-10-31,737.0,905.4399999999999,8232.208869774784
Cooper,David,61,174.8,52.9,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,het,3,301.2,4727.0,veuf,5.0,0.97,2021-07-15,458.0,547.086,27080.061169135097
Scott,Michelle,68,162.8,82.0,F,non,master,Île-de-France,oui,oui,het,3,386.9,4288.0,divorcé,4.0,0.98,2022-09-05,679.0,839.9459999999999,18906.9193030344
Evans,Kelly,33,183.1,87.8,H,oui,bac+2,Bretagne,oui,oui,het,2,195.4,3662.0,veuf,4.0,0.17,2022-01-12,733.0,969.83,24065.571824604594
Rodriguez,Stacy,36,156.7,61.4,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,het,1,82.8,912.0,célibataire,3.0,0.35,2021-05-16,626.0,848.11,500.0
Phillips,Harry,49,160.0,57.8,F,non,bac,Auvergne-Rhône-Alpes,non,oui,het,1,322.1,2460.0,veuf,0.0,0.84,2021-01-13,515.0,685.5899999999999,500.0
Juarez,John,33,159.6,67.1,H,oui,bac,Bretagne,non,non,het,2,100.9,2008.0,divorcé,1.0,0.39,2023-05-31,582.0,726.206,500.0
Potter,Alyssa,64,177.6,85.2,F,oui,bac,Occitanie,non,non,het,1,328.2,1818.0,veuf,4.0,0.84,2022-10-29,517.0,360.11,500.0
Ibarra,Jonathan,30,192.3,76.3,F,non,master,Occitanie,oui,oui,het,2,366.2,2957.0,divorcé,5.0,0.39,2024-05-06,578.0,633.902,6118.426138861176
Wright,Lisa,25,148.0,57.9,H,non,bac,Occitanie,non,oui,het,3,366.9,2198.0,marié,2.0,0.32,2022-02-27,441.0,832.454,13025.400471408417
Garcia,Jill,73,164.4,77.5,H,oui,aucun,Île-de-France,non,oui,het,2,273.6,1193.0,divorcé,1.0,0.18,2022-08-14,608.0,1013.83,18497.083878446258
Hinton,Sherri,54,155.7,60.4,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,het,2,272.9,3557.0,divorcé,2.0,0.6,2023-03-08,843.0,694.626,22311.581737233337
Castro,Steven,32,172.1,78.7,F,oui,bac,Auvergne-Rhône-Alpes,non,non,het,1,258.0,3773.0,marié,2.0,0.97,2020-08-16,699.0,729.394,500.0
Morgan,Chloe,33,182.4,49.0,F,oui,doctorat,Hauts-de-France,non,non,het,0,206.5,2844.0,veuf,0.0,0.34,2020-10-06,560.0,484.19399999999996,500.0
Anderson,Kevin,36,162.5,89.2,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,het,0,193.5,2938.0,divorcé,5.0,0.63,2023-06-29,578.0,888.7199999999999,500.0
Novak,Briana,35,178.8,73.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,het,2,78.3,3879.0,célibataire,0.0,0.5,2023-04-19,560.0,861.302,500.0
Hernandez,Karen,66,179.0,69.4,F,non,master,Auvergne-Rhône-Alpes,oui,non,het,1,-82.1,4197.0,divorcé,1.0,0.85,2024-09-06,582.0,833.1700000000001,500.0
Rivera,Scott,28,169.8,48.6,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,het,3,263.9,1689.0,veuf,0.0,0.65,2021-05-30,560.0,816.68,29780.01970191709
Horton,Derek,34,172.1,63.7,F,oui,bac+2,Occitanie,oui,non,het,0,168.2,869.0,veuf,0.0,0.44,2020-12-23,560.0,1008.06,500.0
White,Guy,44,157.7,62.2,H,oui,bac+2,Île-de-France,non,non,het,1,152.9,3739.0,veuf,2.0,0.04,2025-05-25,570.0,513.96,4073.275744228335
Wilson,Larry,27,158.8,70.2,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,-2,400.2,1727.0,marié,2.0,0.21,2023-08-14,595.0,758.28,500.0
White,Ann,32,165.7,77.1,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,0,148.3,2085.0,divorcé,0.0,0.43,2020-03-21,717.0,1110.9,8036.926835295528
Miller,Kendra,31,176.2,86.2,F,non,bac,Auvergne-Rhône-Alpes,non,oui,het,2,318.7,3677.0,célibataire,1.0,0.35,2022-10-04,582.0,866.1899999999999,18508.072744337143
Mccarty,Chloe,57,161.8,87.2,H,non,bac+2,Bretagne,oui,non,het,3,267.6,2725.0,divorcé,0.0,0.72,2025-05-22,560.0,849.8100000000001,500.0
Jones,Daniel,54,160.9,67.3,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,het,4,276.1,500.0,veuf,2.0,0.28,2021-12-20,570.0,870.742,10529.209107225804
Gray,Brianna,73,153.5,68.1,H,oui,master,Corse,non,oui,het,2,237.0,2957.0,célibataire,5.0,0.31,2020-02-11,590.0,260.35810000000004,28031.7014101457
Shelton,Christina,62,165.1,39.6,F,oui,aucun,Corse,non,non,het,0,310.2,1386.0,veuf,1.0,0.47,2021-04-29,582.0,1007.6360000000001,500.0
Wright,Mary,71,169.9,79.8,H,oui,doctorat,Corse,oui,oui,het,1,115.0,2650.0,marié,1.0,0.54,2021-08-18,649.0,351.97,8812.344456114333
Thomas,Katherine,56,175.6,46.4,F,oui,master,Île-de-France,non,non,het,0,192.1,1215.0,marié,4.0,0.74,2021-06-15,626.0,869.0019999999998,500.0
Rodriguez,Jennifer,47,181.0,77.5,H,non,aucun,Île-de-France,non,non,het,1,415.7,2013.0,marié,4.0,0.32,2023-10-23,450.0,785.478,500.0
Williams,James,75,183.7,96.1,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,het,1,111.7,3998.0,veuf,2.0,0.45,2023-08-11,569.0,690.1339999999999,18094.12546371585
May,Steve,45,153.3,52.4,H,oui,doctorat,Corse,oui,oui,het,4,357.0,1786.0,divorcé,4.0,0.15,2021-06-28,496.0,784.7479999999999,18657.275774742106
Townsend,Hector,44,159.1,92.4,F,oui,aucun,Hauts-de-France,non,oui,het,1,91.3,833.0,célibataire,0.0,0.5,2021-07-10,588.0,606.9340000000001,500.0
Wallace,Lisa,43,167.1,85.8,H,non,master,Normandie,oui,non,hom,0,192.9,1799.0,divorcé,1.0,0.62,2023-10-17,490.0,754.588,500.0
Ramos,Heather,67,176.6,74.1,H,non,bac,Corse,non,oui,het,3,327.7,4414.0,marié,3.0,0.81,2021-10-14,630.0,916.086,17699.173265350273
Benton,Jesse,38,154.9,79.3,F,oui,bac+2,Corse,non,oui,het,1,302.5,1816.0,marié,3.0,0.51,2022-12-24,796.0,745.842,4761.08351981037
Eaton,Dana,27,171.5,62.7,F,oui,master,Île-de-France,non,non,het,2,62.3,1249.0,veuf,2.0,0.7,2022-03-07,579.0,666.418,4818.502890286607
Faulkner,Brian,26,174.2,61.0,F,non,master,Île-de-France,non,non,het,2,152.8,3624.0,célibataire,5.0,0.51,2023-09-12,578.0,794.5360000000001,500.0
Mitchell,Sarah,33,160.5,87.0,H,oui,doctorat,Occitanie,non,non,het,0,181.3,2496.0,marié,5.0,0.3,2022-02-03,578.0,596.4440000000001,7138.762735234996
Martin,Amber,41,180.0,69.0,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,het,3,188.4,4746.0,célibataire,5.0,0.4,2022-07-05,578.0,610.05,56461.97791911173
Cabrera,Leslie,39,169.4,40.4,H,oui,bac,Corse,non,oui,het,5,346.8,3298.0,célibataire,3.0,0.04,2022-01-18,346.0,793.3,28626.39798787251
Robinson,Julian,33,186.2,75.8,F,oui,bac+2,Corse,oui,oui,hom,3,275.6,3314.0,veuf,0.0,0.57,2023-09-11,560.0,739.01,6190.113683028287
Nelson,Karen,22,161.0,72.6,F,oui,bac,Île-de-France,oui,non,het,1,99.2,4059.0,divorcé,4.0,0.73,2023-07-23,573.0,633.36,500.0
Gibson,Tiffany,30,186.0,60.1,F,oui,bac+2,Bretagne,oui,oui,het,6,293.8,2622.0,célibataire,5.0,0.82,2023-06-26,309.0,1298.3356,29814.937290839844
Dunn,Keith,41,168.1,74.3,F,oui,master,Hauts-de-France,oui,non,het,4,287.2,1208.0,divorcé,3.0,0.73,2025-05-29,575.0,848.8860000000001,500.0
Lee,John,72,175.3,72.2,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,het,4,100.0,2284.0,veuf,2.0,0.55,2020-04-15,570.0,690.95,16795.397739079275
Smith,Joe,53,180.1,52.3,F,non,aucun,Bretagne,non,oui,het,1,167.7,3624.0,marié,0.0,0.92,2023-02-23,404.0,692.55,500.0
Horn,Candace,34,170.9,68.8,H,non,bac+2,Île-de-France,oui,oui,het,0,270.1,3746.0,célibataire,0.0,0.98,2021-08-20,607.0,840.96,12271.756592178808
Molina,Matthew,31,187.6,55.0,H,oui,bac+2,Bretagne,oui,oui,het,0,322.5,2655.0,divorcé,0.0,0.63,2023-01-04,560.0,870.914,1503.7172445563097
Ruiz,Lisa,57,152.9,46.1,H,oui,master,Occitanie,non,non,het,1,320.7,2679.0,veuf,3.0,0.39,2023-06-09,447.0,1055.394,500.0
Lewis,Pamela,26,178.9,53.5,F,oui,bac+2,Hauts-de-France,oui,non,het,2,342.0,2438.0,divorcé,3.0,0.6,2020-09-19,575.0,828.93,500.0
Parker,David,33,159.6,72.4,F,oui,doctorat,Hauts-de-France,non,oui,het,1,151.1,1441.0,divorcé,1.0,0.2,2023-12-02,846.0,458.29400000000004,20767.919659685027
Trujillo,Daniel,56,149.9,64.3,F,non,master,Île-de-France,non,non,het,1,271.6,3608.0,divorcé,3.0,0.64,2020-05-07,472.0,621.1360000000001,500.0
Garcia,Kristi,30,169.9,92.8,F,non,bac,Hauts-de-France,oui,oui,het,1,214.1,1809.0,veuf,5.0,0.3,2022-08-29,578.0,322.1,500.0
Moore,Justin,38,147.89100000000002,71.0,F,non,bac,Hauts-de-France,oui,non,het,2,316.6,3297.0,célibataire,0.0,0.52,2023-09-27,560.0,922.7160000000001,500.0
