nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Maldonado,Jacqueline,55,168.4,80.0,H,oui,doctorat,Normandie,non,oui,500.0,divorcé,4.0,0.97,2020-09-26,718.0,559.26,29358.17769561137
West,Yvonne,18,158.6,77.5,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2023.0,marié,0.0,0.89,2023-01-16,580.0,1032.32,500.0
Wilson,Elizabeth,62,171.4,77.2,H,non,bac+2,Corse,non,oui,904.0,marié,5.0,0.29,2021-08-15,561.0,1065.43,6712.726721442828
Pugh,Stephanie,45,173.3,68.6,H,non,doctorat,Île-de-France,non,non,568.0,veuf,4.0,0.51,2023-07-13,576.0,785.8320000000001,500.0
Martinez,Isaac,29,175.2,69.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3624.0,veuf,0.0,0.21,2025-04-01,580.0,1073.5,500.0
Cooper,Timothy,74,159.7,95.8,H,non,master,Île-de-France,oui,oui,1823.0,veuf,0.0,0.26,2024-02-06,580.0,739.31,9958.305010076558
Hunter,Anna,42,173.8,71.8,F,oui,aucun,Bretagne,non,oui,2040.0,marié,3.0,0.29,2022-10-18,521.0,729.204,15699.8867602253
Nunez,Tonya,41,179.5,65.6,F,non,bac+2,Bretagne,non,oui,2321.0,marié,1.0,0.53,2021-12-25,553.0,704.758,15785.751255071553
Reed,David,74,171.8,61.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1216.0,divorcé,1.0,0.79,2024-10-29,553.0,849.732,11292.029477601953
Stark,Joshua,22,190.0,63.9,H,oui,bac,Bretagne,oui,oui,1731.0,divorcé,2.0,0.25,2021-11-18,577.0,829.0260000000001,4529.690297241665
Conley,Julia,71,155.9,37.0,H,non,aucun,Occitanie,non,non,4762.0,divorcé,4.0,0.03,2023-05-04,396.0,1307.961000000001,500.0
Clark,Melissa,41,175.3,73.0,F,oui,bac+2,Hauts-de-France,non,oui,3480.0,divorcé,3.0,0.86,2020-02-22,581.0,744.2800000000001,17264.275901828485
Martinez,Anthony,41,154.1,97.5,F,non,master,Bretagne,oui,oui,1993.0,divorcé,3.0,0.47,2025-01-19,384.0,581.5580000000001,1281.9229939424142
Ross,Mark,52,163.6,39.3,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2217.0,veuf,3.0,0.59,2022-07-03,581.0,866.378,1703.2091550614111
Reid,James,40,169.0,63.5,H,non,bac+2,Normandie,non,non,2140.0,célibataire,3.0,0.09,2020-02-01,581.0,798.03,500.0
Castillo,Carl,56,181.1,72.0,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1075.0,divorcé,3.0,0.41,2020-01-04,581.0,899.202,10667.772211678155
Miller,Danny,36,174.3,56.6,H,non,aucun,Bretagne,non,oui,3619.0,divorcé,1.0,0.43,2023-01-15,553.0,958.6020000000001,13279.43790734672
Romero,Adrian,34,174.1,67.6,F,oui,bac+2,Corse,non,oui,2597.0,veuf,1.0,0.3,2023-11-03,553.0,1307.961000000001,14865.32774958236
Whitaker,Andrew,29,178.3,77.1,H,oui,aucun,Corse,non,oui,3152.0,célibataire,2.0,0.88,2020-03-12,577.0,848.9779999999998,2426.265552876417
Hansen,Jessica,41,165.8,82.8,H,oui,bac+2,Corse,non,oui,1797.0,divorcé,3.0,0.31,2024-03-11,581.0,283.86,10146.957094539635
Reed,Andrea,74,151.8,51.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2986.0,divorcé,0.0,0.74,2020-12-19,580.0,623.516,11837.808210233152
Bauer,Christopher,24,165.3,66.9,F,oui,aucun,Bretagne,non,oui,1930.0,marié,3.0,0.32,2024-11-14,599.0,948.83,10379.81877962131
Anderson,Dawn,73,166.9,69.0,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,4771.0,veuf,0.0,0.47,2020-12-20,630.0,913.7279999999998,19719.5017886146
Hawkins,Kathy,60,167.8,39.7,F,non,aucun,Occitanie,non,non,2600.0,marié,2.0,0.26,2023-09-09,577.0,915.0900000000001,500.0
Flowers,John,75,160.8,68.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4778.0,célibataire,0.0,0.64,2024-05-06,614.0,731.4459999999999,8980.312053464007
Stuart,Brittany,75,160.7,89.3,H,oui,bac,Île-de-France,oui,non,2248.0,célibataire,0.0,0.02,2023-04-30,580.0,664.456,500.0
Mathews,Timothy,40,171.7,58.2,F,non,bac,Île-de-France,oui,non,1899.0,veuf,5.0,0.11,2020-10-18,342.0,949.448,500.0
Li,Teresa,57,174.0,83.7,H,oui,bac,Corse,non,oui,4207.0,célibataire,1.0,0.78,2023-06-04,718.0,778.668,21549.82401911197
Horton,Katherine,74,179.6,79.9,F,oui,bac+2,Occitanie,oui,non,1998.0,divorcé,3.0,0.59,2023-05-03,774.0,773.764,500.0
Campbell,Danielle,55,185.8,54.9,F,oui,doctorat,Normandie,oui,oui,602.0,veuf,4.0,0.35,2023-11-24,576.0,752.496,5428.047793885788
Bowers,Jennifer,40,177.6,85.5,F,oui,master,Normandie,oui,oui,3474.0,célibataire,4.0,0.71,2021-03-04,496.0,1278.27,16752.789752354092
Fox,Thomas,56,160.5,66.6,F,non,doctorat,Bretagne,non,oui,1908.0,marié,5.0,0.47,2024-12-22,318.0,941.686,20423.84320730014
Simpson,Curtis,57,176.5,77.0,H,non,doctorat,Corse,oui,oui,1176.0,marié,0.0,0.32,2020-06-29,580.0,666.126,500.0
Smith,John,48,156.8,77.6,H,oui,doctorat,Île-de-France,oui,oui,4010.0,veuf,2.0,0.57,2025-05-28,577.0,694.0740000000001,40137.50246898064
Harris,Scott,41,172.6,62.4,F,non,bac+2,Île-de-France,oui,non,4319.0,célibataire,5.0,0.08,2020-01-27,557.0,802.2199999999999,500.0
Paul,Jason,43,153.2,69.8,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4897.0,veuf,0.0,0.27,2023-09-14,768.0,764.0600000000001,35962.04802835945
Andrade,Richard,45,168.0,58.7,F,non,bac,Provence-Alpes-Côte d’Azur,non,non,4231.0,marié,2.0,0.06,2021-10-03,577.0,785.024,500.0
Smith,Rachel,21,162.0,79.6,H,non,aucun,Hauts-de-France,oui,oui,645.0,veuf,4.0,0.03,2025-01-08,818.0,643.462,500.0
Smith,Cody,75,147.7,54.3,F,non,master,Bretagne,non,non,2452.0,marié,4.0,0.49,2023-12-18,380.0,743.9340000000001,500.0
Stein,Alicia,60,164.2,79.5,H,oui,master,Île-de-France,non,oui,2571.0,divorcé,2.0,0.41,2020-04-15,577.0,910.4280000000001,33049.468422152735
Crawford,Joseph,29,178.0,76.3,H,non,bac,Île-de-France,oui,oui,3121.0,célibataire,1.0,0.72,2022-07-10,701.0,867.894,7051.1771065952
Beard,Joshua,68,185.4,56.5,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2285.0,célibataire,1.0,0.21,2020-12-16,792.0,903.858,2724.919805153449
Patton,Debbie,27,157.7,52.5,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2483.0,veuf,2.0,0.99,2025-02-20,666.0,265.2039,26282.620988748466
Miller,Kevin,35,178.6,70.5,H,oui,aucun,Hauts-de-France,non,oui,4243.0,veuf,2.0,0.02,2022-08-19,359.0,744.2259999999999,14306.900020371317
Koch,Dylan,62,165.3,86.1,F,non,aucun,Corse,oui,non,4340.0,célibataire,2.0,0.7,2021-12-19,698.0,1004.67,500.0
Elliott,Madison,23,170.8,46.7,H,oui,bac+2,Bretagne,oui,oui,531.0,divorcé,1.0,0.96,2020-12-17,553.0,749.9680000000001,500.0
Miller,Matthew,37,166.2,85.2,F,oui,bac,Île-de-France,non,oui,2743.0,divorcé,5.0,0.49,2021-08-07,557.0,847.452,16741.9804046619
Kennedy,Matthew,27,160.6,71.5,F,oui,doctorat,Occitanie,non,oui,500.0,veuf,2.0,0.23,2024-10-09,577.0,656.9540000000001,14504.604268333092
Ward,Sharon,49,156.9,68.6,H,non,bac+2,Corse,non,oui,1711.0,veuf,5.0,0.53,2022-06-10,557.0,1000.064,500.0
Spears,Tonya,41,177.4,82.0,H,oui,bac+2,Occitanie,non,oui,1882.0,veuf,5.0,0.2,2023-12-26,557.0,897.3520000000001,28685.37160497041
Mays,Amy,45,162.2,46.1,F,non,bac,Hauts-de-France,oui,oui,1084.0,veuf,4.0,0.98,2024-08-11,820.0,660.0959999999999,500.0
Quinn,Cindy,43,161.9,56.7,H,non,aucun,Occitanie,non,oui,2740.0,divorcé,4.0,0.1,2025-01-30,486.0,773.51,6726.144540197254
Gordon,George,23,162.8,42.8,H,non,bac,Bretagne,non,non,1797.0,divorcé,1.0,0.04,2024-01-07,595.0,546.16,500.0
Garrison,Richard,40,155.4,74.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2165.0,marié,1.0,0.84,2022-09-28,846.0,887.1,500.0
Bryant,Stephanie,68,161.0,63.5,F,non,master,Bretagne,oui,oui,2107.0,divorcé,5.0,0.84,2022-12-03,557.0,688.7,8921.973730630438
Crawford,Amy,48,188.6,81.7,F,oui,master,Normandie,oui,oui,1290.0,divorcé,5.0,0.49,2022-07-21,331.0,703.8499999999999,8255.660172817976
Clark,Scott,57,171.0,39.3,F,non,aucun,Bretagne,oui,non,1029.0,marié,3.0,0.52,2021-10-29,581.0,643.222,500.0
Norman,Paige,75,175.4,79.0,F,oui,aucun,Occitanie,non,oui,2362.0,divorcé,4.0,0.39,2023-04-26,491.0,983.4,500.0
Brown,Ryan,70,180.8,86.5,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5826.0,marié,5.0,0.62,2024-12-15,557.0,627.648,29125.10607760429
Gonzalez,Theresa,21,172.5,75.1,F,oui,bac+2,Hauts-de-France,oui,oui,609.0,célibataire,3.0,1.0,2024-12-28,581.0,723.68,500.0
Williams,Kathryn,20,179.9,73.5,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3332.0,célibataire,5.0,0.03,2021-08-28,660.0,605.32,14791.054255033709
Ritter,Carla,42,166.9,85.5,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3099.0,divorcé,2.0,0.73,2021-03-04,577.0,901.918,14232.322333697375
Brown,Kimberly,55,182.7,74.8,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,1771.0,célibataire,0.0,0.09,2020-02-28,301.0,731.594,500.0
Robinson,Lauren,67,176.1,75.2,H,non,doctorat,Île-de-France,non,oui,2979.0,veuf,4.0,0.56,2021-10-23,376.0,1111.528,30331.9324936551
Preston,Jocelyn,47,168.4,66.8,F,non,bac+2,Bretagne,non,oui,3877.0,divorcé,4.0,0.69,2021-09-27,576.0,780.64,26198.455079027182
Peters,Kenneth,19,152.9,55.7,H,oui,aucun,Île-de-France,non,oui,1772.0,divorcé,3.0,0.42,2022-02-20,581.0,731.594,12454.328982490384
Johnson,Tiffany,65,176.8,59.5,H,oui,bac,Île-de-France,non,non,5181.0,veuf,4.0,0.56,2021-05-08,576.0,868.6579999999998,14858.463980839962
Monroe,Andrew,53,178.0,43.5,H,oui,master,Normandie,oui,oui,2952.0,célibataire,0.0,0.03,2021-09-15,630.0,1101.41,24462.730419394706
Mckay,Tyrone,59,151.6,78.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,500.0,célibataire,3.0,0.38,2023-09-09,581.0,672.52,500.0
Gentry,Anthony,20,171.6,88.3,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,500.0,célibataire,2.0,0.2,2024-12-25,577.0,921.64,500.0
Gibbs,John,34,176.9,43.0,F,oui,doctorat,Normandie,non,oui,1863.0,marié,4.0,0.92,2024-02-13,576.0,542.182,14449.054890309168
Williams,Jessica,54,164.4,80.1,F,oui,aucun,Bretagne,oui,oui,1363.0,marié,4.0,0.44,2020-11-24,576.0,843.1179999999998,500.0
Jackson,Angela,66,151.8,58.3,H,non,master,Hauts-de-France,non,non,2612.0,célibataire,1.0,0.25,2021-08-12,553.0,1307.961000000001,500.0
Gray,Eugene,69,185.7,71.8,F,non,aucun,Occitanie,non,oui,936.0,veuf,2.0,0.28,2023-01-30,577.0,1073.3439999999998,500.0
Thomas,Anne,59,168.4,72.7,H,oui,master,Bretagne,non,non,1251.0,marié,4.0,0.86,2022-05-19,710.0,926.12,4878.545755190827
Ramirez,Colleen,35,154.3,90.8,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,614.0,veuf,5.0,0.95,2021-12-01,557.0,821.99,500.0
Phillips,Robin,64,156.4,52.9,H,non,aucun,Occitanie,non,non,1541.0,marié,1.0,0.33,2022-02-15,553.0,781.294,500.0
Mendoza,Kyle,51,189.5,66.6,F,oui,aucun,Hauts-de-France,non,non,4944.0,marié,1.0,0.92,2021-03-03,553.0,844.9,500.0
Washington,Natasha,36,168.7,94.1,H,non,bac+2,Île-de-France,oui,oui,2002.0,divorcé,0.0,0.23,2021-01-23,651.0,729.854,9001.546015414096
Richardson,Sarah,23,166.6,66.8,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,2582.0,marié,3.0,0.83,2021-10-29,581.0,846.1379999999999,10903.397392817302
Jones,Christina,64,161.4,69.0,F,non,aucun,Île-de-France,oui,oui,3318.0,veuf,5.0,0.61,2024-08-10,557.0,791.566,2720.813788949977
Lee,Laura,22,173.5,61.9,H,oui,bac,Île-de-France,non,oui,796.0,veuf,3.0,0.88,2023-10-24,581.0,588.964,10822.827044993295
Olson,Edward,63,186.8,70.6,F,oui,aucun,Occitanie,non,oui,3885.0,divorcé,3.0,0.5,2020-08-12,581.0,727.296,15757.66361823247
Sims,Joanne,47,160.5,48.4,H,non,aucun,Bretagne,oui,oui,3582.0,divorcé,5.0,0.12,2021-04-01,557.0,724.76,3735.658720627448
Allen,Carrie,56,180.2,72.9,F,non,master,Normandie,oui,oui,500.0,célibataire,0.0,0.14,2025-02-23,580.0,654.534,500.0
Myers,Gerald,51,172.0,76.7,F,oui,aucun,Corse,oui,non,3527.0,marié,5.0,0.03,2023-07-10,557.0,654.46,500.0
Torres,Bonnie,22,160.1,71.0,F,non,bac,Occitanie,oui,non,2450.0,divorcé,2.0,0.86,2022-09-08,791.0,739.94,500.0
Martin,Diana,30,172.0,45.4,F,oui,bac,Hauts-de-France,oui,non,2893.0,célibataire,0.0,0.05,2022-02-27,580.0,793.96,500.0
Burke,Christopher,57,171.9,88.1,H,non,bac,Provence-Alpes-Côte d’Azur,oui,non,4262.0,veuf,3.0,0.89,2021-02-16,581.0,773.284,500.0
Hill,Lauren,34,170.4,86.6,H,non,master,Normandie,oui,oui,2399.0,marié,5.0,0.01,2024-04-09,818.0,942.9739999999999,11737.23847284871
Cline,Rachel,71,169.8,73.9,H,non,bac+2,Bretagne,oui,oui,1287.0,célibataire,2.0,0.63,2021-03-02,800.0,757.766,2814.1386162062663
Williams,Stephen,28,178.2,72.8,F,non,aucun,Hauts-de-France,oui,oui,1768.0,marié,2.0,0.71,2020-11-26,830.0,792.952,500.0
Wolfe,Patrick,23,158.8,44.8,F,non,doctorat,Bretagne,oui,non,1713.0,divorcé,0.0,0.58,2020-10-14,803.0,929.5619999999999,500.0
Bass,Brandon,44,162.3,45.4,F,non,aucun,Normandie,oui,oui,1962.0,marié,1.0,0.7,2020-12-29,363.0,652.8120000000001,500.0
Mcclure,Olivia,35,153.7,76.8,F,oui,doctorat,Bretagne,non,oui,2789.0,célibataire,4.0,0.64,2024-07-16,576.0,899.832,29152.59717199099
Roy,David,57,160.5,80.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,2623.0,divorcé,2.0,0.54,2022-12-27,562.0,923.994,4383.465051415476
Russell,Timothy,41,179.0,35.9,F,oui,master,Île-de-France,non,non,2699.0,célibataire,5.0,0.33,2025-05-21,557.0,794.1120000000001,8620.740440969317
Hall,John,68,177.0,86.3,H,oui,aucun,Bretagne,non,non,3059.0,divorcé,4.0,0.75,2022-05-24,576.0,879.924,500.0
Allen,Anna,21,172.1,54.2,F,non,bac+2,Occitanie,non,oui,500.0,veuf,3.0,0.22,2024-09-14,581.0,656.9540000000001,2571.4279977966503
Miller,Erika,75,156.9,88.8,F,oui,bac,Bretagne,oui,oui,989.0,marié,2.0,0.26,2020-01-01,843.0,728.932,12906.990479801343
Smith,Chelsey,32,178.3,78.4,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2538.0,veuf,2.0,0.91,2020-04-26,458.0,810.39,21288.40814422946
Johnson,Erika,30,164.7,69.6,H,non,bac,Hauts-de-France,non,oui,2830.0,veuf,3.0,0.26,2022-10-25,581.0,805.29,7501.263720832778
Rivas,Michelle,23,157.2,47.2,H,oui,master,Île-de-France,oui,oui,3583.0,veuf,0.0,0.39,2024-12-16,580.0,615.43,13702.678326689054
Burch,Jeffrey,58,181.8,86.9,H,oui,doctorat,Occitanie,oui,oui,962.0,célibataire,5.0,0.87,2024-10-17,557.0,825.348,14356.8655104378
Collins,Robert,62,186.6,78.8,F,oui,aucun,Île-de-France,non,oui,3271.0,marié,5.0,0.22,2021-10-19,557.0,581.686,17984.913231590494
Edwards,Amy,53,173.3,55.2,H,non,doctorat,Occitanie,oui,oui,699.0,veuf,4.0,0.82,2023-04-08,521.0,989.81,9786.53291738366
Roberts,Joshua,32,177.5,71.4,H,oui,doctorat,Hauts-de-France,oui,non,1464.0,célibataire,5.0,0.76,2025-02-12,391.0,420.05,500.0
Smith,Ashley,19,178.3,47.7,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,4022.0,marié,3.0,0.53,2023-07-13,474.0,705.9300000000001,20399.31047104829
Le,Monique,29,153.8,60.9,F,oui,doctorat,Occitanie,non,oui,4116.0,marié,5.0,0.42,2021-07-30,557.0,799.154,32226.988031995694
Morris,Kathleen,68,158.3,87.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3955.0,marié,4.0,0.94,2025-04-06,576.0,933.28,10639.305587861045
Ramirez,Christina,29,172.3,77.4,H,non,bac,Bretagne,non,non,2483.0,marié,4.0,0.71,2023-11-29,721.0,773.7839999999999,500.0
Bell,Jennifer,53,158.6,72.2,H,oui,aucun,Occitanie,non,non,1371.0,divorcé,5.0,0.94,2023-01-19,557.0,1069.99,500.0
Barron,Eric,60,156.9,78.6,F,non,bac+2,Normandie,non,oui,2340.0,marié,2.0,0.06,2022-04-27,577.0,951.594,15184.584884713417
Hampton,Glenn,45,168.8,91.3,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2906.0,célibataire,1.0,0.44,2024-06-08,662.0,1166.1,29132.162879314223
Rogers,Sean,23,177.3,71.7,H,oui,bac+2,Hauts-de-France,non,non,1513.0,veuf,3.0,0.65,2023-08-01,682.0,896.2460000000001,500.0
Peterson,Pamela,45,171.0,58.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,3352.0,veuf,1.0,0.01,2021-03-18,553.0,627.354,500.0
Foster,Tara,52,171.4,76.8,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,2962.0,célibataire,4.0,0.4,2022-04-26,576.0,1042.69,500.0
Thompson,Kimberly,71,176.1,62.2,F,oui,bac,Bretagne,non,oui,1534.0,veuf,5.0,0.05,2023-04-28,557.0,875.952,20138.50357849674
Brown,Michele,63,166.0,92.2,H,oui,bac+2,Normandie,non,oui,930.0,marié,1.0,0.46,2023-04-03,303.0,965.2239999999999,8042.88785006186
Jenkins,Kimberly,36,159.9,71.4,H,non,doctorat,Corse,non,oui,4632.0,divorcé,3.0,0.41,2022-01-31,581.0,265.2039,16683.472226033566
Small,John,22,175.8,67.0,F,oui,aucun,Île-de-France,non,non,884.0,célibataire,1.0,0.13,2022-12-06,698.0,684.7860000000001,500.0
Doyle,Katherine,72,160.5,77.5,H,non,master,Auvergne-Rhône-Alpes,oui,non,2445.0,veuf,5.0,0.85,2022-05-22,438.0,904.8299999999999,500.0
Cruz,Christina,51,175.3,60.4,H,oui,aucun,Normandie,oui,oui,2408.0,marié,4.0,0.29,2021-10-29,697.0,813.6020000000001,2050.7157398082786
