nom,prenom,niveau_etude,region,smoker,revenu_estime_mois,historique_credits,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Diaz,John,master,Corse,oui,1809.0,4.0,2025-03-16,763.0,864.0200000000001,500.0
Martin,Melanie,master,Bretagne,oui,4778.0,0.0,2021-06-23,580.0,731.4459999999999,28396.908742389693
Morgan,Lance,bac,Hauts-de-France,oui,3838.0,2.0,2022-08-27,577.0,610.236,500.0
Mejia,Paul,master,Île-de-France,non,2071.0,3.0,2021-05-20,581.0,739.762,16528.519173978777
Cox,Hunter,bac,Occitanie,non,2783.0,1.0,2021-04-30,357.0,577.66,12733.330382969947
Hale,Christopher,master,Hauts-de-France,oui,2600.0,5.0,2025-05-12,557.0,1040.518,6156.501558240514
Taylor,Stacy,doctorat,Occitanie,oui,3008.0,4.0,2024-07-23,484.0,672.558,500.0
Martinez,David,bac+2,Provence-Alpes-Côte d’Azur,oui,500.0,0.0,2024-05-08,805.0,713.5759999999999,500.0
Frank,Vanessa,master,Île-de-France,non,4278.0,5.0,2022-01-12,455.0,830.5880000000001,31072.702663736723
Estrada,Marcus,aucun,Occitanie,oui,2537.0,0.0,2025-04-03,580.0,844.8399999999999,500.0
Coleman,Diana,master,Auvergne-Rhône-Alpes,non,4525.0,2.0,2024-12-10,761.0,949.24,10946.391315339892
Peterson,Catherine,doctorat,Occitanie,oui,1859.0,4.0,2021-10-06,576.0,547.03,500.0
Holland,Dorothy,bac+2,Hauts-de-France,oui,1566.0,5.0,2020-05-22,418.0,335.202,1992.4825524566772
Baker,Roy,bac,Provence-Alpes-Côte d’Azur,oui,3929.0,5.0,2025-05-29,506.0,901.632,15002.912094814255
Fields,Sarah,master,Normandie,oui,3214.0,2.0,2020-04-25,402.0,678.442,10488.968596578909
Johnson,Scott,doctorat,Auvergne-Rhône-Alpes,non,3865.0,3.0,2024-07-06,581.0,1128.66,37282.162849122215
Beck,Ronald,aucun,Normandie,non,1851.0,2.0,2023-10-12,577.0,348.33,10767.439217607673
Herring,William,aucun,Bretagne,non,1770.0,3.0,2022-11-08,352.0,265.2039,4161.441442592443
Perez,Jeffrey,master,Bretagne,non,1083.0,4.0,2022-01-29,576.0,562.484,20879.755904736496
Nichols,Elizabeth,bac,Normandie,oui,3041.0,1.0,2021-03-13,553.0,627.58,11145.183005926978
Barber,Jodi,doctorat,Auvergne-Rhône-Alpes,oui,2741.0,0.0,2022-07-22,573.0,884.098,500.0
Garner,Samuel,doctorat,Bretagne,oui,3059.0,2.0,2022-02-05,577.0,879.924,28698.200373046937
Lopez,Kenneth,aucun,Hauts-de-France,oui,2663.0,2.0,2023-11-30,843.0,748.46,500.0
Maldonado,Jacqueline,doctorat,Normandie,non,500.0,4.0,2020-09-26,718.0,559.26,29358.17769561137
West,Yvonne,aucun,Auvergne-Rhône-Alpes,oui,2023.0,0.0,2023-01-16,580.0,1032.32,500.0
Wilson,Elizabeth,bac+2,Corse,non,904.0,5.0,2021-08-15,561.0,1065.43,6712.726721442828
Pugh,Stephanie,doctorat,Île-de-France,non,568.0,4.0,2023-07-13,576.0,785.8320000000001,500.0
Martinez,Isaac,bac,Provence-Alpes-Côte d’Azur,oui,3624.0,0.0,2025-04-01,580.0,1073.5,500.0
Cooper,Timothy,master,Île-de-France,oui,1823.0,0.0,2024-02-06,580.0,739.31,9958.305010076558
Hunter,Anna,aucun,Bretagne,non,2040.0,3.0,2022-10-18,521.0,729.204,15699.8867602253
Nunez,Tonya,bac+2,Bretagne,non,2321.0,1.0,2021-12-25,553.0,704.758,15785.751255071553
Reed,David,bac+2,Provence-Alpes-Côte d’Azur,non,1216.0,1.0,2024-10-29,553.0,849.732,11292.029477601953
Stark,Joshua,bac,Bretagne,oui,1731.0,2.0,2021-11-18,577.0,829.0260000000001,4529.690297241665
Conley,Julia,aucun,Occitanie,non,4762.0,4.0,2023-05-04,396.0,1307.961000000001,500.0
Clark,Melissa,bac+2,Hauts-de-France,non,3480.0,3.0,2020-02-22,581.0,744.2800000000001,17264.275901828485
Martinez,Anthony,master,Bretagne,oui,1993.0,3.0,2025-01-19,384.0,581.5580000000001,1281.9229939424142
Ross,Mark,bac,Provence-Alpes-Côte d’Azur,oui,2217.0,3.0,2022-07-03,581.0,866.378,1703.2091550614111
Reid,James,bac+2,Normandie,non,2140.0,3.0,2020-02-01,581.0,798.03,500.0
Castillo,Carl,master,Provence-Alpes-Côte d’Azur,non,1075.0,3.0,2020-01-04,581.0,899.202,10667.772211678155
Miller,Danny,aucun,Bretagne,non,3619.0,1.0,2023-01-15,553.0,958.6020000000001,13279.43790734672
Romero,Adrian,bac+2,Corse,non,2597.0,1.0,2023-11-03,553.0,1307.961000000001,14865.32774958236
Whitaker,Andrew,aucun,Corse,non,3152.0,2.0,2020-03-12,577.0,848.9779999999998,2426.265552876417
Hansen,Jessica,bac+2,Corse,non,1797.0,3.0,2024-03-11,581.0,283.86,10146.957094539635
Reed,Andrea,bac+2,Auvergne-Rhône-Alpes,oui,2986.0,0.0,2020-12-19,580.0,623.516,11837.808210233152
Bauer,Christopher,aucun,Bretagne,non,1930.0,3.0,2024-11-14,599.0,948.83,10379.81877962131
Anderson,Dawn,aucun,Auvergne-Rhône-Alpes,non,4771.0,0.0,2020-12-20,630.0,913.7279999999998,19719.5017886146
Hawkins,Kathy,aucun,Occitanie,non,2600.0,2.0,2023-09-09,577.0,915.0900000000001,500.0
Flowers,John,bac+2,Auvergne-Rhône-Alpes,non,4778.0,0.0,2024-05-06,614.0,731.4459999999999,8980.312053464007
Stuart,Brittany,bac,Île-de-France,oui,2248.0,0.0,2023-04-30,580.0,664.456,500.0
Mathews,Timothy,bac,Île-de-France,oui,1899.0,5.0,2020-10-18,342.0,949.448,500.0
Li,Teresa,bac,Corse,non,4207.0,1.0,2023-06-04,718.0,778.668,21549.82401911197
Horton,Katherine,bac+2,Occitanie,oui,1998.0,3.0,2023-05-03,774.0,773.764,500.0
Campbell,Danielle,doctorat,Normandie,oui,602.0,4.0,2023-11-24,576.0,752.496,5428.047793885788
Bowers,Jennifer,master,Normandie,oui,3474.0,4.0,2021-03-04,496.0,1278.27,16752.789752354092
Fox,Thomas,doctorat,Bretagne,non,1908.0,5.0,2024-12-22,318.0,941.686,20423.84320730014
Simpson,Curtis,doctorat,Corse,oui,1176.0,0.0,2020-06-29,580.0,666.126,500.0
Smith,John,doctorat,Île-de-France,oui,4010.0,2.0,2025-05-28,577.0,694.0740000000001,40137.50246898064
Harris,Scott,bac+2,Île-de-France,oui,4319.0,5.0,2020-01-27,557.0,802.2199999999999,500.0
Paul,Jason,bac+2,Auvergne-Rhône-Alpes,non,4897.0,0.0,2023-09-14,768.0,764.0600000000001,35962.04802835945
Andrade,Richard,bac,Provence-Alpes-Côte d’Azur,non,4231.0,2.0,2021-10-03,577.0,785.024,500.0
Smith,Rachel,aucun,Hauts-de-France,oui,645.0,4.0,2025-01-08,818.0,643.462,500.0
Smith,Cody,master,Bretagne,non,2452.0,4.0,2023-12-18,380.0,743.9340000000001,500.0
Stein,Alicia,master,Île-de-France,non,2571.0,2.0,2020-04-15,577.0,910.4280000000001,33049.468422152735
Crawford,Joseph,bac,Île-de-France,oui,3121.0,1.0,2022-07-10,701.0,867.894,7051.1771065952
Beard,Joshua,aucun,Auvergne-Rhône-Alpes,non,2285.0,1.0,2020-12-16,792.0,903.858,2724.919805153449
Patton,Debbie,doctorat,Auvergne-Rhône-Alpes,oui,2483.0,2.0,2025-02-20,666.0,265.2039,26282.620988748466
Miller,Kevin,aucun,Hauts-de-France,non,4243.0,2.0,2022-08-19,359.0,744.2259999999999,14306.900020371317
Koch,Dylan,aucun,Corse,oui,4340.0,2.0,2021-12-19,698.0,1004.67,500.0
Elliott,Madison,bac+2,Bretagne,oui,531.0,1.0,2020-12-17,553.0,749.9680000000001,500.0
Miller,Matthew,bac,Île-de-France,non,2743.0,5.0,2021-08-07,557.0,847.452,16741.9804046619
Kennedy,Matthew,doctorat,Occitanie,non,500.0,2.0,2024-10-09,577.0,656.9540000000001,14504.604268333092
Ward,Sharon,bac+2,Corse,non,1711.0,5.0,2022-06-10,557.0,1000.064,500.0
Spears,Tonya,bac+2,Occitanie,non,1882.0,5.0,2023-12-26,557.0,897.3520000000001,28685.37160497041
Mays,Amy,bac,Hauts-de-France,oui,1084.0,4.0,2024-08-11,820.0,660.0959999999999,500.0
Quinn,Cindy,aucun,Occitanie,non,2740.0,4.0,2025-01-30,486.0,773.51,6726.144540197254
Gordon,George,bac,Bretagne,non,1797.0,1.0,2024-01-07,595.0,546.16,500.0
Garrison,Richard,aucun,Auvergne-Rhône-Alpes,oui,2165.0,1.0,2022-09-28,846.0,887.1,500.0
Bryant,Stephanie,master,Bretagne,oui,2107.0,5.0,2022-12-03,557.0,688.7,8921.973730630438
Crawford,Amy,master,Normandie,oui,1290.0,5.0,2022-07-21,331.0,703.8499999999999,8255.660172817976
Clark,Scott,aucun,Bretagne,oui,1029.0,3.0,2021-10-29,581.0,643.222,500.0
Norman,Paige,aucun,Occitanie,non,2362.0,4.0,2023-04-26,491.0,983.4,500.0
Brown,Ryan,master,Provence-Alpes-Côte d’Azur,oui,5826.0,5.0,2024-12-15,557.0,627.648,29125.10607760429
Gonzalez,Theresa,bac+2,Hauts-de-France,oui,609.0,3.0,2024-12-28,581.0,723.68,500.0
Williams,Kathryn,bac,Auvergne-Rhône-Alpes,oui,3332.0,5.0,2021-08-28,660.0,605.32,14791.054255033709
Ritter,Carla,aucun,Auvergne-Rhône-Alpes,non,3099.0,2.0,2021-03-04,577.0,901.918,14232.322333697375
Brown,Kimberly,doctorat,Auvergne-Rhône-Alpes,oui,1771.0,0.0,2020-02-28,301.0,731.594,500.0
Robinson,Lauren,doctorat,Île-de-France,non,2979.0,4.0,2021-10-23,376.0,1111.528,30331.9324936551
Preston,Jocelyn,bac+2,Bretagne,non,3877.0,4.0,2021-09-27,576.0,780.64,26198.455079027182
Peters,Kenneth,aucun,Île-de-France,non,1772.0,3.0,2022-02-20,581.0,731.594,12454.328982490384
Johnson,Tiffany,bac,Île-de-France,non,5181.0,4.0,2021-05-08,576.0,868.6579999999998,14858.463980839962
Monroe,Andrew,master,Normandie,oui,2952.0,0.0,2021-09-15,630.0,1101.41,24462.730419394706
Mckay,Tyrone,aucun,Provence-Alpes-Côte d’Azur,oui,500.0,3.0,2023-09-09,581.0,672.52,500.0
Gentry,Anthony,bac+2,Provence-Alpes-Côte d’Azur,non,500.0,2.0,2024-12-25,577.0,921.64,500.0
Gibbs,John,doctorat,Normandie,non,1863.0,4.0,2024-02-13,576.0,542.182,14449.054890309168
Williams,Jessica,aucun,Bretagne,oui,1363.0,4.0,2020-11-24,576.0,843.1179999999998,500.0
Jackson,Angela,master,Hauts-de-France,non,2612.0,1.0,2021-08-12,553.0,1307.961000000001,500.0
Gray,Eugene,aucun,Occitanie,non,936.0,2.0,2023-01-30,577.0,1073.3439999999998,500.0
Thomas,Anne,master,Bretagne,non,1251.0,4.0,2022-05-19,710.0,926.12,4878.545755190827
Ramirez,Colleen,bac+2,Provence-Alpes-Côte d’Azur,oui,614.0,5.0,2021-12-01,557.0,821.99,500.0
Phillips,Robin,aucun,Occitanie,non,1541.0,1.0,2022-02-15,553.0,781.294,500.0
Mendoza,Kyle,aucun,Hauts-de-France,non,4944.0,1.0,2021-03-03,553.0,844.9,500.0
Washington,Natasha,bac+2,Île-de-France,oui,2002.0,0.0,2021-01-23,651.0,729.854,9001.546015414096
Richardson,Sarah,master,Provence-Alpes-Côte d’Azur,oui,2582.0,3.0,2021-10-29,581.0,846.1379999999999,10903.397392817302
Jones,Christina,aucun,Île-de-France,oui,3318.0,5.0,2024-08-10,557.0,791.566,2720.813788949977
Lee,Laura,bac,Île-de-France,non,796.0,3.0,2023-10-24,581.0,588.964,10822.827044993295
Olson,Edward,aucun,Occitanie,non,3885.0,3.0,2020-08-12,581.0,727.296,15757.66361823247
Sims,Joanne,aucun,Bretagne,oui,3582.0,5.0,2021-04-01,557.0,724.76,3735.658720627448
Allen,Carrie,master,Normandie,oui,500.0,0.0,2025-02-23,580.0,654.534,500.0
Myers,Gerald,aucun,Corse,oui,3527.0,5.0,2023-07-10,557.0,654.46,500.0
Torres,Bonnie,bac,Occitanie,oui,2450.0,2.0,2022-09-08,791.0,739.94,500.0
Martin,Diana,bac,Hauts-de-France,oui,2893.0,0.0,2022-02-27,580.0,793.96,500.0
Burke,Christopher,bac,Provence-Alpes-Côte d’Azur,oui,4262.0,3.0,2021-02-16,581.0,773.284,500.0
Hill,Lauren,master,Normandie,oui,2399.0,5.0,2024-04-09,818.0,942.9739999999999,11737.23847284871
Cline,Rachel,bac+2,Bretagne,oui,1287.0,2.0,2021-03-02,800.0,757.766,2814.1386162062663
Williams,Stephen,aucun,Hauts-de-France,oui,1768.0,2.0,2020-11-26,830.0,792.952,500.0
Wolfe,Patrick,doctorat,Bretagne,oui,1713.0,0.0,2020-10-14,803.0,929.5619999999999,500.0
Bass,Brandon,aucun,Normandie,oui,1962.0,1.0,2020-12-29,363.0,652.8120000000001,500.0
Mcclure,Olivia,doctorat,Bretagne,non,2789.0,4.0,2024-07-16,576.0,899.832,29152.59717199099
Roy,David,master,Auvergne-Rhône-Alpes,non,2623.0,2.0,2022-12-27,562.0,923.994,4383.465051415476
Russell,Timothy,master,Île-de-France,non,2699.0,5.0,2025-05-21,557.0,794.1120000000001,8620.740440969317
Hall,John,aucun,Bretagne,non,3059.0,4.0,2022-05-24,576.0,879.924,500.0
Allen,Anna,bac+2,Occitanie,non,500.0,3.0,2024-09-14,581.0,656.9540000000001,2571.4279977966503
Miller,Erika,bac,Bretagne,oui,989.0,2.0,2020-01-01,843.0,728.932,12906.990479801343
Smith,Chelsey,aucun,Provence-Alpes-Côte d’Azur,non,2538.0,2.0,2020-04-26,458.0,810.39,21288.40814422946
Johnson,Erika,bac,Hauts-de-France,non,2830.0,3.0,2022-10-25,581.0,805.29,7501.263720832778
Rivas,Michelle,master,Île-de-France,oui,3583.0,0.0,2024-12-16,580.0,615.43,13702.678326689054
Burch,Jeffrey,doctorat,Occitanie,oui,962.0,5.0,2024-10-17,557.0,825.348,14356.8655104378
Collins,Robert,aucun,Île-de-France,non,3271.0,5.0,2021-10-19,557.0,581.686,17984.913231590494
Edwards,Amy,doctorat,Occitanie,oui,699.0,4.0,2023-04-08,521.0,989.81,9786.53291738366
Roberts,Joshua,doctorat,Hauts-de-France,oui,1464.0,5.0,2025-02-12,391.0,420.05,500.0
Smith,Ashley,doctorat,Auvergne-Rhône-Alpes,oui,4022.0,3.0,2023-07-13,474.0,705.9300000000001,20399.31047104829
Le,Monique,doctorat,Occitanie,non,4116.0,5.0,2021-07-30,557.0,799.154,32226.988031995694
Morris,Kathleen,master,Provence-Alpes-Côte d’Azur,oui,3955.0,4.0,2025-04-06,576.0,933.28,10639.305587861045
Ramirez,Christina,bac,Bretagne,non,2483.0,4.0,2023-11-29,721.0,773.7839999999999,500.0
Bell,Jennifer,aucun,Occitanie,non,1371.0,5.0,2023-01-19,557.0,1069.99,500.0
Barron,Eric,bac+2,Normandie,non,2340.0,2.0,2022-04-27,577.0,951.594,15184.584884713417
Hampton,Glenn,master,Provence-Alpes-Côte d’Azur,non,2906.0,1.0,2024-06-08,662.0,1166.1,29132.162879314223
Rogers,Sean,bac+2,Hauts-de-France,non,1513.0,3.0,2023-08-01,682.0,896.2460000000001,500.0
Peterson,Pamela,aucun,Provence-Alpes-Côte d’Azur,oui,3352.0,1.0,2021-03-18,553.0,627.354,500.0
Foster,Tara,bac,Auvergne-Rhône-Alpes,oui,2962.0,4.0,2022-04-26,576.0,1042.69,500.0
Thompson,Kimberly,bac,Bretagne,non,1534.0,5.0,2023-04-28,557.0,875.952,20138.50357849674
Brown,Michele,bac+2,Normandie,non,930.0,1.0,2023-04-03,303.0,965.2239999999999,8042.88785006186
Jenkins,Kimberly,doctorat,Corse,non,4632.0,3.0,2022-01-31,581.0,265.2039,16683.472226033566
Small,John,aucun,Île-de-France,non,884.0,1.0,2022-12-06,698.0,684.7860000000001,500.0
Doyle,Katherine,master,Auvergne-Rhône-Alpes,oui,2445.0,5.0,2022-05-22,438.0,904.8299999999999,500.0
Cruz,Christina,aucun,Normandie,oui,2408.0,4.0,2021-10-29,697.0,813.6020000000001,2050.7157398082786
Norris,Sierra,bac+2,Hauts-de-France,oui,2262.0,2.0,2024-07-19,577.0,480.28200000000004,500.0
Gonzales,Krystal,bac,Auvergne-Rhône-Alpes,oui,2298.0,0.0,2024-08-26,622.0,621.0379999999999,500.0
Medina,Abigail,doctorat,Île-de-France,non,3247.0,2.0,2020-12-05,502.0,862.6780000000001,5257.865301498262
Hill,Katherine,bac+2,Normandie,non,1217.0,0.0,2021-07-31,580.0,437.78,500.0
Adams,Jennifer,bac+2,Corse,oui,1382.0,1.0,2024-07-05,460.0,1228.62,500.0
Hernandez,Dawn,aucun,Île-de-France,oui,1517.0,1.0,2020-12-20,553.0,935.298,500.0
Roman,Kenneth,bac+2,Hauts-de-France,non,1915.0,0.0,2021-05-25,580.0,758.8,500.0
Mccoy,Chad,aucun,Normandie,oui,1393.0,2.0,2023-01-05,577.0,912.9540000000001,500.0
Ramsey,Jennifer,master,Corse,non,5582.0,0.0,2020-09-22,580.0,802.5,32624.62424784305
Williams,Kathleen,master,Corse,non,4100.0,0.0,2020-10-22,743.0,782.6560000000001,500.0
Costa,Michael,bac+2,Normandie,oui,2152.0,4.0,2022-08-16,576.0,968.0780000000001,500.0
Spencer,Alexandra,bac+2,Hauts-de-France,oui,2652.0,1.0,2024-08-17,553.0,729.004,500.0
Murphy,William,aucun,Auvergne-Rhône-Alpes,non,1522.0,1.0,2023-08-04,450.0,824.2639999999999,500.0
Barnett,Lydia,bac+2,Bretagne,non,1290.0,2.0,2025-04-08,577.0,265.2039,16857.98479163118
Baker,Ryan,doctorat,Auvergne-Rhône-Alpes,oui,3351.0,0.0,2023-07-05,580.0,607.458,22455.43441767607
Jones,Elizabeth,bac,Corse,oui,3613.0,4.0,2022-01-21,749.0,781.062,500.0
Murray,Monica,bac,Occitanie,non,3269.0,4.0,2022-05-25,470.0,578.6659999999999,500.0
Davis,Scott,master,Hauts-de-France,oui,3416.0,4.0,2024-08-04,576.0,844.8520000000001,18587.129442140165
Fritz,Andrea,bac+2,Occitanie,non,3905.0,1.0,2022-05-28,440.0,774.7239999999999,18399.61442914501
Gonzalez,Michael,master,Corse,non,3156.0,3.0,2020-06-20,581.0,922.3880000000001,500.0
Ho,Jessica,bac,Corse,non,1508.0,2.0,2023-04-20,577.0,917.68,500.0
Davis,Amanda,bac+2,Occitanie,non,4698.0,5.0,2021-11-13,557.0,770.932,30376.436480777666
Woods,Christopher,master,Bretagne,non,1633.0,3.0,2023-11-13,581.0,561.252,2580.1153810490573
Martinez,Melinda,aucun,Provence-Alpes-Côte d’Azur,oui,6285.0,2.0,2025-03-24,577.0,983.2940000000001,19764.347867278266
Thomas,Gail,aucun,Provence-Alpes-Côte d’Azur,oui,1255.0,3.0,2022-09-02,327.0,1035.16,500.0
Conrad,Billy,bac+2,Normandie,oui,1439.0,0.0,2023-06-26,509.0,892.3100000000001,500.0
Carter,Jon,master,Corse,oui,2884.0,0.0,2022-07-26,408.0,851.738,22144.99931479974
Mcguire,Patrick,aucun,Occitanie,non,1996.0,5.0,2024-10-19,557.0,616.422,11326.25449697811
Clark,Jaime,doctorat,Corse,oui,500.0,2.0,2021-05-21,577.0,1056.134,500.0
Aguirre,Fred,bac+2,Île-de-France,non,1191.0,4.0,2024-03-24,566.0,704.13,3326.8459813784034
Henderson,Angelica,aucun,Provence-Alpes-Côte d’Azur,non,706.0,2.0,2024-10-29,652.0,703.03,21170.17087603601
Casey,Thomas,aucun,Auvergne-Rhône-Alpes,oui,4170.0,1.0,2020-10-29,553.0,802.592,500.0
Hughes,Kyle,bac+2,Auvergne-Rhône-Alpes,non,3486.0,3.0,2022-12-27,581.0,648.73,3269.816402584081
Smith,Sean,bac,Auvergne-Rhône-Alpes,oui,3511.0,0.0,2022-06-01,705.0,1055.98,500.0
Thomas,Cody,bac+2,Normandie,non,2227.0,5.0,2023-09-19,557.0,812.692,500.0
Morgan,David,doctorat,Hauts-de-France,non,1942.0,4.0,2024-09-05,321.0,732.624,15686.78132850265
Beard,Timothy,master,Bretagne,oui,2475.0,3.0,2024-12-10,581.0,865.6780000000001,25720.956678722483
Young,Eric,bac,Hauts-de-France,non,1034.0,2.0,2025-04-01,577.0,740.2379999999999,500.0
Williamson,Tracy,bac+2,Normandie,oui,2657.0,5.0,2022-01-31,557.0,646.33,500.0
Dalton,Michael,doctorat,Hauts-de-France,oui,3901.0,5.0,2022-11-08,684.0,774.7239999999999,3727.548198082763
Martin,Mary,aucun,Bretagne,non,2686.0,5.0,2024-03-22,817.0,965.4459999999999,22474.032687219635
Ortiz,Ryan,aucun,Hauts-de-France,oui,3673.0,4.0,2022-10-23,425.0,764.5899999999999,1039.6814070236503
Davis,William,doctorat,Provence-Alpes-Côte d’Azur,oui,3967.0,5.0,2021-08-17,525.0,767.962,9547.31726536674
Coleman,Kathy,bac,Île-de-France,oui,1195.0,3.0,2025-01-04,581.0,898.0419999999998,500.0
Santiago,Michelle,bac+2,Normandie,oui,2011.0,1.0,2020-09-20,805.0,631.0799999999999,1113.829489318093
Gonzales,Brian,doctorat,Île-de-France,oui,3034.0,3.0,2024-01-19,581.0,831.9,19524.748467578767
Bird,Jennifer,master,Auvergne-Rhône-Alpes,non,3667.0,2.0,2021-04-20,580.0,761.8560000000001,9768.568084750788
Harris,Gabrielle,master,Bretagne,oui,2991.0,2.0,2022-03-17,577.0,826.1020000000001,3956.1305457758576
Moreno,Jon,master,Île-de-France,oui,1246.0,0.0,2022-01-15,580.0,869.5260000000001,500.0
Lewis,Carolyn,aucun,Provence-Alpes-Côte d’Azur,oui,3298.0,3.0,2025-02-04,784.0,265.2039,15117.602265736034
Hodge,Andrew,bac+2,Occitanie,non,2225.0,2.0,2025-03-27,650.0,832.6899999999999,14448.913633781498
Harrison,Natalie,doctorat,Île-de-France,non,2352.0,1.0,2024-08-16,553.0,1133.498,25896.143475960027
Stewart,Linda,master,Auvergne-Rhône-Alpes,non,1659.0,4.0,2021-04-07,684.0,850.1899999999999,20424.118436131917
Wilson,Erin,bac+2,Corse,oui,2488.0,1.0,2023-07-09,484.0,532.08,6745.451611897515
Sanchez,Tamara,master,Normandie,non,3375.0,1.0,2024-01-29,571.0,817.388,9432.456600866117
Miller,Jennifer,bac,Hauts-de-France,non,2072.0,5.0,2021-01-02,461.0,739.762,500.0
Romero,Tammy,doctorat,Normandie,non,4057.0,4.0,2020-07-22,326.0,671.08,32056.67702970769
Harris,Cynthia,aucun,Normandie,oui,1380.0,3.0,2025-01-02,581.0,628.76,500.0
Harris,Denise,bac+2,Corse,oui,2151.0,5.0,2020-08-11,628.0,857.402,500.0
White,Jeffrey,bac+2,Normandie,oui,1349.0,3.0,2023-07-26,646.0,860.576,2970.217234330531
Hansen,Christopher,doctorat,Normandie,oui,3168.0,1.0,2023-07-07,553.0,812.64,21583.85196791177
Anthony,Travis,bac+2,Auvergne-Rhône-Alpes,non,3212.0,2.0,2022-12-24,577.0,1208.838,22800.89475109125
Cain,Erica,doctorat,Occitanie,non,3343.0,2.0,2024-01-15,348.0,962.72,6134.9710680646285
Burns,Patrick,bac+2,Île-de-France,oui,3117.0,0.0,2021-04-12,580.0,775.152,500.0
Walker,Sharon,bac+2,Provence-Alpes-Côte d’Azur,oui,1289.0,5.0,2022-10-24,557.0,802.31,500.0
Williamson,Emily,bac+2,Bretagne,oui,2980.0,1.0,2020-12-13,553.0,1105.318,19494.724237604543
Williams,Kevin,doctorat,Île-de-France,oui,1907.0,5.0,2021-02-08,557.0,414.25,500.0
Smith,Joanna,aucun,Normandie,oui,2709.0,2.0,2020-08-27,522.0,733.522,500.0
Smith,Andrew,aucun,Corse,non,1697.0,2.0,2023-11-26,340.0,567.06,500.0
Johnson,Jeffrey,bac+2,Provence-Alpes-Côte d’Azur,non,1938.0,5.0,2025-04-26,557.0,941.8900000000001,500.0
Hernandez,Brittany,aucun,Corse,non,3205.0,3.0,2022-12-11,374.0,950.268,500.0
Mccall,Jennifer,master,Île-de-France,oui,500.0,2.0,2020-12-09,577.0,482.6199999999999,18955.86650945091
Mcneil,Christina,bac,Occitanie,oui,2013.0,1.0,2020-01-09,553.0,473.8959999999999,500.0
Gilmore,Kevin,master,Hauts-de-France,oui,546.0,3.0,2022-12-25,581.0,804.278,500.0
Washington,Brandon,doctorat,Île-de-France,non,1360.0,2.0,2022-08-06,577.0,934.824,34232.663162465586
Terry,Claudia,master,Auvergne-Rhône-Alpes,oui,2174.0,1.0,2020-11-30,553.0,950.7280000000001,8190.753263564347
Williams,Timothy,master,Auvergne-Rhône-Alpes,oui,5329.0,0.0,2021-12-04,580.0,734.358,500.0
Kirk,Denise,aucun,Provence-Alpes-Côte d’Azur,non,1476.0,5.0,2022-02-23,557.0,854.3100000000001,500.0
